meeting_location,cwpp_region,concern,total_votes,recommendations,timing_focus,cohesive_strategy,key_codes,sec_desc1,sec_desc2,sec_desc3
Makawao,Upcountry Maui,Lack of Fire Awareness & Public Outreach,0,Increase fire awareness and public outreach,P,C,c,cbo,NA,NA
Kula,Upcountry Maui,Lack of Public Education/Info (ignitions),2,NA,P,C,c,cbo,NA,NA
Kula,Upcountry Maui,Lack of Resilience Planning,1,Increase Community Awareness,P,C,c,cbo,NA,NA
Dick Mayer's house,Upcountry Maui,"Large landowners (state, etc.)",NA,Reduce ignitions,P,C,c,cbo,NA,NA
Kula,Upcountry Maui,"Fire's not sexy & controversial - Out of sight, out of mind!",0,Package outreach with sustainability & other popular topics (drought),P,C,c,to,NA,NA
Dick Mayer's house,Upcountry Maui,Elderly communication if fire,NA,Establish a buddy system for elderly (2-3 neighbors),S,C,c,to,NA,NA
Dick Mayer's house,Upcountry Maui,"Large landowners (state, etc.)",NA,Map of landowners - go to 10 biggest landowners & watershed partners and educate/get input about wildfires (focus on leeward sides),P,C,c,to,NA,NA
Dick Mayer's house,Upcountry Maui,Community Awareness - Kihei is very aware but Kula is not,NA,Wildfire education in schools - 6th grade?,P,C,c,yo,NA,NA
Makawao,Upcountry Maui,Cultural Resources have burned,1,Need fire protection/management,PS,C,cr,NA,NA,NA
Makawao,Upcountry Maui,Firework ignited fires,2,Legislative/County wide ban on fireworks; Promote large firework events instead of personal use.,P,C,e,fireworks,NA,NA
Kula,Upcountry Maui,DHHL Firewise Program needs to be included in overall community plans,0,Ask Jim Bruce & Nancy McPherson re: $ for DHHL Fire mitigation projects,P,C,p,collab,NA,NA
Dick Mayer's house,Upcountry Maui,No Fire Plan,NA,"Fire Break plans needed with details, materials, width.",P,C,p,fb,NA,NA
Kula,Upcountry Maui,Lack of political support for fire mitigation planning,4,Educate local politicians on issues to support bills to help with issue,P,C,p,to,NA,NA
Kula,Upcountry Maui,Lack of Resilience Planning,1,Research how to get it into Community Development Plans,P,C,p,NA,NA,NA
Dick Mayer's house,Upcountry Maui,No Fire Plan,NA,Need Fire Cams to spot fires,S,C,p,NA,NA,NA
Dick Mayer's house,Upcountry Maui,No Fire Plan,NA,Need notification system,P,C,p,NA,NA,NA
Makawao,Upcountry Maui,MECO Easements: Vegetation Management; Infrastructure Improvement,3,MECO to upgrade infrastructure - work with PUC to help facilitate upgrade,PS,C,meco,to, collab,NA
Makawao,Upcountry Maui,"Polipoli State Forest Reserve is a fire hazard (also tree hazard, road closures)",0,Maintain roads for better fire access and keep roads open;  Cut trees off the road; Trim trees so less fire prone,PS,L,a,r,NA,NA
Makawao,Upcountry Maui,Invasive plants in Kaupo,1,Eradicate invasives (xmas berry) and increase grazing area to reduce invasives and fire,PS,L,ep,is,NA,NA
Makawao,Upcountry Maui,Lack of native reforestation efforts,3,Fund Leeward Haleakala Restoration to reforest landscape with native vegetation,PF,L,ep,reforest,NA,NA
Makawao,Upcountry Maui,Lack of vegetative recovery program,1,Centralized seed storage equipment @DLNR-DOFAW base yard; Allows all resource management entities access to seeds,PF,L,ep,seeds,NA,NA
Kula,Upcountry Maui,Post-fire Rehabilitation of native veg.,2,Increase seed collection/storage & broadcast vectors to revegetate,PF,L,ep,seeds,NA,NA
Makawao,Upcountry Maui,"Fallow Lands (former pineapple, sugar cane)",2,Need to be managed before/after sale,PS,L,f,ag,NA,NA
Makawao,Upcountry Maui,Overgrown Vegetation,0,Graze areas near active grazing sites,PS,L,f,ag,NA,NA
Makawao,Upcountry Maui,Invasive plants in Kaupo,1,Eradicate invasives (xmas berry) and increase grazing area to reduce invasives and fire,PS,L,f,ag,,NA
Kula,Upcountry Maui,Abundance of kiawe in wildland,1,Prescriptive debris removal program with landowners,PS,L,f,cbo,NA,NA
Makawao,Upcountry Maui,Brush Abatement Enforcement,2,See if Maui Fire Dept. able to work with landowners to mitigate,P,L,f,e,NA,NA
Makawao,Upcountry Maui,"Polipoli State Forest Reserve is a fire hazard (also tree hazard, road closures)",0,Maintain roads for better fire access and keep roads open;  Cut trees off the road; Trim trees so less fire prone,PS,L,f,gfm,NA,NA
Makawao,Upcountry Maui,Vegetation management issues,0,manage vegetation,PS,L,f,gfm,NA,NA
Kula,Upcountry Maui,Overgrown vegetation in gulches,1,Green waste pickup program to encourage landowners to not dump vegetation into gulches.,P,L,f,greenwaste program,NA,NA
Kula,Upcountry Maui,Wildfires as a vector for spreading GMO seeds to other areas,0,Conduct research on GMO spread,PF,L,f,is,NA,NA
Kula,Upcountry Maui,Lack of MECO vegetation management in easements,4,Work with MECO to restart vegetation control program; PUC enforcement needed,P,L,f,meco,NA,NA
Dick Mayer's house,Upcountry Maui,No Fire Plan,NA,"Fire Break plans needed with details, materials, width.",PS,L,p,fb,NA,NA
Makawao,Upcountry Maui,Lack of grazing buffer around DHHL,3,Create grazing buffer around DHHL lands,PS,L,f,ag,NA,NA
Makawao,Upcountry Maui,Makawao Fire Station - threatened by nearby road ignitions,0,Remove/manage vegetation/brush adjacent to station,PS,L,f,gfm,NA,NA
Makawao,Upcountry Maui,MECO Easements: Vegetation Management; Infrastructure Improvement,3,Reestablish vegetation control/brush abatement program,PS,L,f,meco,NA,NA
Dick Mayer's house,Upcountry Maui,"Large landowners (state, etc.)",NA,Fire break/buffer between subdivision & large landowners,PS,L,f,gfm,NA,NA
Makawao,Upcountry Maui,Bad access to community areas,0,Improve access to communities: Repair and Maintain access roads,S,R,a,r,NA,NA
Makawao,Upcountry Maui,Decrease in firefighting resources (MLP sold off equip and cut personnel),2,Get more equipment & personnel for DLNR and County,S,R,ff,money,NA,NA
Kula,Upcountry Maui,Nationwide 70% of firefighters are volunteers - very few in HI (Big Island only),2,need vounteer FD,S,R,ff,money,NA,NA
Dick Mayer's house,Upcountry Maui,Wind direction changes - fire spread concern,NA,Create a Fire Evacuation Plan street by street with safety zones,PS,R,p,evacuation,NA,NA
Dick Mayer's house,Upcountry Maui,Wind direction changes - fire spread concern,NA,Civil defense alarms/notification systems; entity to generate emails/messages for evacuation purposes; Communication with schools & parents,S,R,p,notification,NA,NA
Dick Mayer's house,Upcountry Maui,No Fire Plan,NA,Need notification system,PS,R,p,NA,NA,NA
Makawao,Upcountry Maui,Water Access,0,"Involve County, State, Federal decision makers to extend incomplete 8"" Ag pipeline & make it more functional",S,R,w,p,NA,NA
Dick Mayer's house,Upcountry Maui,Access to Water,NA,Additional water tanks needed; Catalogue all reservoirs and map where they are to delineate ones helicopters can dip into - HTNS reservoirs - owned by E. Maui Sugar Co.,S,R,w,NA,NA,NA
Dick Mayer's house,Upcountry Maui,Access to Water,NA,"Run pipes up to mauka areas, turn on pump down below, and connect to hydrants above (which can be accessed)",S,R,w,NA,NA,NA
Dick Mayer's house,Upcountry Maui,Access to Water,NA,Frog ponds - dig ponds to be temporarily filled,S,R,w,NA,NA,NA
Makawao,Upcountry Maui,Lack of Water Resources for Fire Suppression,1,Increase number of reservoirs in remote areas,S,R,w,NA,NA,NA
Waianae #1,W. Oahu,Lack of knowledge (children-adults),6,Educate community (fire safety),P,C,c,cbo,NA,NA
Waianae #1,W. Oahu,"Residents, visitors, everybody needs to know about how to protect from wildfire",2,"Learn/teach about building stone walls; What & how to plant for benefit (food to eat, prevent erosion)",P,C,c,cbo,NA,NA
Kapolei,W. Oahu,Lack of education,3,"Community Outreach Demonstrations: Video, DVD, Social Media, PSAs",P,C,c,cbo, sm, psa
Kapolei,W. Oahu,Community Education/DOE/Private Schools,1,Increase awareness about fire code (fire dept.) & fire-related laws,P,C,c,cbo, yo,NA
Nanakuli,W. Oahu,High frequency of brush firs in specific areas,2,Community awareness/educational programs targeting schools,P,C,c,cbo, yo,NA
Makakilo,W. Oahu,Apathy,0,NA,P,C,c,o,NA,NA
Kapolei,W. Oahu,Community based respect & responsibilities,2,Education/Outreach,P,C,c,o,NA,NA
Waianae #1,W. Oahu,Electrical Irresponsibility,2,Educate on clutter around outlets/electricity,P,C,c,o,NA,NA
Waianae #2,W. Oahu,Fire Propensity Advisory,1,Announce to public what to do and not to do,P,C,c,o,NA,NA
WMWP,W. Oahu,Fires starting below natural areas and moving into native forest,6,Education/outreach,P,C,c,o,NA,NA
Kapolei,W. Oahu,Lack of education,3,Fire Prevention Week,P,C,c,o,NA,NA
Makakilo,W. Oahu,Poor community awareness,1,"Public Service Announcements (windy days, during red flag warnings, dry summer seasons, reminders to keep landscape controlled at/near structures",P,C,c,psa,NA,NA
Kapolei,W. Oahu,Community Education/DOE/Private Schools,1,Social media,P,C,c,sm,NA,NA
Nanakuli,W. Oahu,Fire lit but senior class (back of Nanakuli); Smoke issues,11,Local area hunter involvement,P,C,c,to,NA,NA
Makakilo,W. Oahu,Human ignitions in urban areas that have potential to spread into forest reserve,2,Increase awareness/education; Include Fire Ed. In Hunter Ed. Classes,P,C,c,to,NA,NA
Kapolei,W. Oahu,Community Education/DOE/Private Schools,1,Outreach to schools,P,C,c,yo,NA,NA
Nanakuli,W. Oahu,Fire lit by senior class (back of Nanakuli); Smoke issues,11,"Community Education; School participation; Parent involvement; Create a culture of fire awareness, projects kids can take pride in",P,C,c,yo,NA,NA
Makakilo,W. Oahu,Lack of community outreach education,1,More engagement/education by various agencies with elementary & intermediate schools,P,C,c,yo,NA,NA
Kapolei,W. Oahu,Lack of education,3,"In Schools: Juvenile fire setter program; Target concern areas (Nanakuli, Waianae)",P,C,c,yo,NA,NA
Waianae #1,W. Oahu,Need to work with youth/students,4,Go into schools growing existing programs,P,C,c,yo,NA,NA
Makakilo,W. Oahu,Parents & residents need more education,0,"Send info. home through DOE, post on DOE website, email blasts",P,C,c,yo,NA,NA
Waianae #1,W. Oahu,School kids lighting fires,4,Elem school outreach (primary); Middle school outreach (secondary),P,C,c,yo,NA,NA
Waianae #1,W. Oahu,School kids lighting fires,4,"Fire Station Open House - Career Day, Fire Safety Ed., Smoking fish/jerky, Hawaiian Imu",P,C,c,yo,NA,NA
Oahu Wildfire Information Education (OWIE),W. Oahu,Wildfire Season Prep,NA,School Programs (already planning end of May press conference day),P,C,c,yo,NA,NA
Makakilo,W. Oahu,Uneducated civilian/community around fire awareness & conservation,0,"Education going mainstream into K-12 schools and regularly at community meetings;  Awareness/Prep/Prevention Day, Week, Month",P,C,c,yo, cbo,NA
Kapolei,W. Oahu,"Need enforcement (limited inspectors); intentionally set fires, fuels management",5,Add fuel abatement to Adopt-A-Highway,PS,C,e,adopt a hwy,NA,NA
Nanakuli,W. Oahu,Arsonists can't be caught in the act,0,Catch arsonists with a camera; Charge fire starters with suppression costs,P,C,e,arson,NA,NA
Waianae #2,W. Oahu,Illegal dumping,4,Enforcement,P,C,e,dumping,NA,NA
Makakilo,W. Oahu,Large landowners with highly flammable tall grass & shrubs too close to homes,3,Change fire code policy on firebreaks from 30 ft. to 50 ft.,P,C,e,f, fb, llo
Kapolei,W. Oahu,Waianae & Nanakuli hoarders live on unclean farms,1,Enforcement of fire code (Police or Fire,P,C,e,fire code,NA,NA
Waianae #2,W. Oahu,Fireworks,0,Outlaw fireworks,P,C,e,fireworks,NA,NA
Nanakuli,W. Oahu,Fire threat Junk in people's yards; burning trash - toxins/dangerous debris (ex. Next to nursing home),10,Need more enforcement; Environmental Justice Court to settle,P,C,e,leg,NA,NA
Waianae #2,W. Oahu,Homeless encampments in wildland areas,3,Remove bylaw enforcement; Address underlying social issues,P,C,e,leg,NA,NA
Kapolei,W. Oahu,"Need enforcement (limited inspectors); intentionally set fires, fuels management",5,Education; Partnerships to help notify violators of fire code,P,C,e,o, collab,NA
Kapolei,W. Oahu,Family accountability,3,Involvement/Stiff Penalty,P,C,e,NA,NA,NA
OWIE,W. Oahu,"Old structures on Navy properties  (arson, vagrants)",NA,NA,P,C,o,navy,NA,NA
WMWP,W. Oahu,Missing fire management plan for the region (Waianae Mountains and surrounding communities),1,Funding for plan,P,C,p,money,NA,NA
WMWP,W. Oahu,Lack of Point of Contact (POC) list for fire related concerns for communities,0,Create list/outreach materials for public,P,C,p,cbo,NA,NA
WMWP,W. Oahu,Missing fire management plan for the region (Waianae Mountains and surrounding communities),1,Identify at risk communities to focus education/outreach efforts,P,C,p,cbo,NA,NA
Waianae #2,W. Oahu,"Urban expansion - impacting native species, homeless moving into wildland areas",0,Property management,P,C,p,develt,NA,NA
Waianae #1,W. Oahu,Not enough constructed wetlands (political will DLNR) or restored lo'i & fish ponds; grazing lands designation,11,Oppose DLNR Ching appointment,PS,C,p,leg,NA,NA
Kapolei,W. Oahu,Legislative Resolution for Wildfire Awareness Month,4,Collaborate with all agencies couple with Fire Prevention Week Proclamation,P,C,p,legislative reso,NA,NA
Kapolei,W. Oahu,Mix of rural and dense development,0,Needs to be assessed better ?,P,C,p,NA,NA,NA
Makakilo,W. Oahu,Need process for addressing concerns. Who do you call?  Go to?,1,"Establish process, hotline, contact, liaison to address issues;  Develop info re: process;  Make neighborhood Boards informed",P,C,p,NA,NA,NA
Makakilo,W. Oahu,New housing in high brush areas (lack of involvement of planners and policy leaders in wiser development (Be Firewise from the start),3,"Require buffer zones in planning phase (regulatory, volunteer = action);  Communication with City and County Dept. of Planning & Permitting, Land use planners & policy makers",P,C,p,NA,NA,NA
WMWP,W. Oahu,Lack of post fire restoration efforts/capabilities,4,Need common native seed bank/sources,PF,L,$,pfr,NA,NA
Kapolei,W. Oahu,Human caused fires started near subdivision that spread to conservation areas with rare species,3,Better access around homes/fuel breaks/roads around subdivisions that can be used for access,PS,L,a,fb,NA,NA
Waianae Mountains Watershed Partnership (WMWP),W. Oahu,Fuel load below natural areas,3,Education/outreach,P,L,c,o,NA,NA
Waianae #1,W. Oahu,Aquifer recharge through fishpond/constructed wetlands (lo'i),12,More water in streams = more green not brown on mountain,S,L,cr,NA,NA,NA
Kapolei,W. Oahu,Large Landowners not managing fuels,1,Large Fire break between large landowners; Fuel abatement policy change (fire code allows 100' ?),PS,L,e,f, fb, llo
Waianae #1,W. Oahu,Not enough constructed wetlands (political will DLNR) or restored lo'i & fish ponds; grazing lands designation,11,Sheep/goat grazing in interface; Naked Cow Dairy needs 500+ acres of grazing lands,PS,L,ep,ag,NA,NA
Waianae #2,W. Oahu,Protection for Waianae watershed,11,Fuel mitigation for community resources - Fire Break & Access for fire protection,PS,L,ep,fb,NA,NA
WMWP,W. Oahu,Locations of threatened and endangered species for firefighters,1,Funding,PS,L,ep,p,NA,NA
WMWP,W. Oahu,Lack of post fire restoration efforts/capabilities,4,Funding for post fire restoration and erosion stabilization,PF,L,ep,pfr,NA,NA
Waianae #2,W. Oahu,Replant ASAP after fire,2,Schedule planting with replacement less combustible plants - plan with nurseries and seed providers/temporary irrigation lines,PF,L,ep,pfr,NA,NA
WMWP,W. Oahu,Lack of post fire restoration team,1,Funding and creation of post fire restoration team,PF,L,ep,pfr team,NA,NA
WMWP,W. Oahu,Lack of post fire restoration efforts/capabilities,4,Need common native seed bank/sources,PF,L,ep,pfr, seeds,NA
Waianae #1,W. Oahu,Aquifer recharge through fishpond/constructed wetlands (lo'i),12,More water in streams = more green not brown on mountain,S,L,ep,w,NA,NA
OWIE,W. Oahu,Natural resources in protected valleys,NA,NA,P,L,ep,NA,NA,NA
WMWP,W. Oahu,Lack of funding and regular maintenance of buffer zones between residential and forested areas,4,Funding and support,PS,L,f,money,NA,NA
Ka'ala Farms,W. Oahu,Unmanaged vegetation,NA,Chipper  - decrease fuel load,PS,L,f,money, chipper,NA
Waianae #2,W. Oahu,Ag land lease of federal properties,5,"Support land lease efforts (elected officials for EA, EIS, impact studies)",PS,L,f,ag,NA,NA
Makakilo,W. Oahu,Lack of firebreaks,1,Grazing goat program,P,L,f,ag,NA,NA
Waianae #1,W. Oahu,Not enough constructed wetlands (political will DLNR) or restored lo'i & fish ponds; grazing lands designation,11,Sheep/goat grazing in interface; Naked Cow Dairy needs 500+ acres of grazing lands,PS,L,f,ag,NA,NA
Ka'ala Farms,W. Oahu,Unmanaged vegetation,NA,Grazing - develop paddocks in most threatened areas. Recommend meeting with Mark Thorne to make recommendations.,PS,L,f,ag,NA,NA
Nanakuli,W. Oahu,Large unused Ag. areas,1,Maintain access roads & fire breaks,PS,L,f,ag, fb,NA
Nanakuli,W. Oahu,Dense vegetation & junk around streams preventing water flow,1,Stream clean up grant received for DHHL community,P,L,f,cbo,NA,NA
Nanakuli,W. Oahu,Residential Fire breaks,3,Communities and residents managing own properties & hazard areas,PS,L,f,cbo,NA,NA
Waianae #1,W. Oahu,"Need to protect heiau, cultural areas & practices",5,"Protect from fire, manage weeds, rubbish, cut down dying trees",PS,L,f,cr,NA,NA
Ka'ala Farms,W. Oahu,Unmanaged vegetation,NA,"Fuel/Fire break on mauka side and/or planting it, lo'i.  Strategically work up mountain side to restore the lo'is",PS,L,f,cr, fb,NA
Ka'ala Farms,W. Oahu,Unmanaged vegetation,NA,Veg management - DLNR/DOFAW,PS,L,f,dofaw,NA,NA
Waianae #2,W. Oahu,WUI firebreaks insufficient,0,"Levy fines/enforce laws to reduce fuel loads near WUI (fire breaks); State, private and federal lands need to be managed",PS,L,f,e,NA,NA
Waianae #2,W. Oahu,"Government lands need to have better/more firebreaks (Fed, State, County)",0,Protect urban from large non-developed areas,P,L,f,e,NA,NA
Kapolei,W. Oahu,Large Landowners not managing fuels,1,Large Fire break between large landowners; Fuel abatement policy change (fire code allows 100' ?),PS,L,f,e, fb,NA
WMWP,W. Oahu,Fires starting below natural areas and moving into native forest,6,Fuels management below forest,PS,L,f,ep,NA,NA
Waianae Mountains Watershed Partnership (WMWP),W. Oahu,Fuel load below natural areas,3,Fuels management below forest,PS,L,f,ep,NA,NA
Nanakuli,W. Oahu,Homeless camps in brush area,0,Create a fire break,PS,L,f,fb,NA,NA
Kapolei,W. Oahu,House Loss; Loss of Life,0,Decrease Fire Threat Proximity (Firebreak around Communities),P,L,f,fb,NA,NA
Makakilo,W. Oahu,Human ignitions in urban areas that have potential to spread into forest reserve,2,Create a service road around community perimeter that serves as a fuel break and access,PS,L,f,fb,NA,NA
WMWP,W. Oahu,Lack of funding and regular maintenance of buffer zones between residential and forested areas,4,Fuels management between communities and forests,PS,L,f,fb,NA,NA
Nanakuli,W. Oahu,No fire breaks,1,Create fire breaks,PS,L,f,fb,NA,NA
Waianae #2,W. Oahu,Protection for Waianae watershed,11,Fuel mitigation for community resources - Fire Break & Access for fire protection,PS,L,f,fb,NA,NA
Nanakuli,W. Oahu,Kulaupuni fires (Kamehameha schools created border but not complete),1,"Beautification project - fire resistant native, low maintenance plants",P,L,f,firewise plants,NA,NA
Kapolei,W. Oahu,Overgrown brush near homes,1,Use less flammable groundcover,P,L,f,firewise plants,NA,NA
Waianae #2,W. Oahu,Encourage property owner management,3,Insurance adjustments,P,L,f,llo,NA,NA
Kapolei,W. Oahu,Large Landowners not managing fuels,1,Large Fire break between large landowners; Fuel abatement policy change (fire code allows 100' ?),PS,L,f,llo,NA,NA
Makakilo,W. Oahu,Large landowners with highly flammable tall grass & shrubs too close to homes,3,Give permission for small homeowners to cut firebreaks at least 24 ft.;,PS,L,f,llo,NA,NA
Makakilo,W. Oahu,Large landowners with highly flammable tall grass & shrubs too close to homes,3,Obtain grant for weed whacking or planting fire-resistant groundcover in firebreak area,PS,L,f,llo,NA,NA
Nanakuli,W. Oahu,Large unused Ag. areas,1,Maintain access roads & fire breaks,PS,L,f,llo,NA,NA
Kapolei,W. Oahu,HFD policy of only 30' firebreak required from structures,1,Increase to 50' firebreak with help of Federal grant to put in fire break in worst places; HOA enforcement,PS,L,f,p,NA,NA
Waianae #2,W. Oahu,Topographic plan for firebreaks,2,Find partners to plan/develop,PS,L,f,p, collab,NA
WMWP,W. Oahu,Antiquated firefighting equipment,0,Grass control techniques/methods developed to break grass/fire cycle,S,L,f,reduction,NA,NA
Kapolei,W. Oahu,Dept. of Transportation not fully aware of fuels management role,0,Program to pick better veg. for roadsides (Firewise); Design & implementation for Firewise plants,PS,L,f,to,NA,NA
Waianae #1,W. Oahu,Excess trash,1,Rid of clutter,P,L,f,trash,NA,NA
Waianae #2,W. Oahu,Unexploded ordinance in Army Range areas,1,NA,P,L,f,uxo,NA,NA
WMWP,W. Oahu,Lack of maps/network of trails and roads for firefighters,0,Need funding for surveys and maps,S,L,p,money,NA,NA
WMWP,W. Oahu,Missing fire management plan for the region (Waianae Mountains and surrounding communities),1,Identify at risk communities to focus education/outreach efforts,P,L,p,cbo,NA,NA
Waianae #1,W. Oahu,Not enough constructed wetlands (political will DLNR) or restored lo'i & fish ponds; grazing lands designation,11,"Support legislation in session to allow ""Taro Lands Designation""",P,L,p,leg,NA,NA
Makakilo,W. Oahu,"Large landowners responsibility needs to be better defined (parks, nurseries, etc.) who is responsible for vegetation maintenance",4,"Work with landowners, work toward buy-in for responsibility; Neighborhood boards (ex. PCA Palehua Community Assn.);  County & State entities",P,L,p,llo,NA,NA
Waianae #1,W. Oahu,"Waianae Valley - Lualuaki managed by Feds, crossed to State lands; Aquifer & watershed impacts",7,Identify Responsible party,S,L,p,llo,NA,NA
WMWP,W. Oahu,Lack of maps/network of trails and roads for firefighters,0,Trail and road network maps,S,L,p,r,NA,NA
WMWP,W. Oahu,Locations of threatened and endangered species for firefighters,1,Funding,S,L,p,NA,NA,NA
Waianae #1,W. Oahu,Aquifer recharge through fishpond/constructed wetlands (lo'i),12,More water in streams = more green not brown on mountain,S,L,w,NA,NA,NA
Kapolei,W. Oahu,"Funding, research & development for wildland firefighting techniques, equipment, and resources",1,Pursue grant funding and partnerships for R & D info.,PS,R,$,capacity,NA,NA
Makakilo,W. Oahu,Adequate equipment & agreements for availability between public & private agencies,5,"Create agreements in advance of anticipated usage of adequate equipment (bulldozers, heavy equipment)",S,R,$,collab,NA,NA
Waianae #1,W. Oahu,Lack of Medical Services,1,Mobile Organizations to assist with disaster,PF,R,$,medical service,NA,NA
Kapolei,W. Oahu,"Aerial firefighting resources (expensive, request process lengthy)",0,Additional air assets & maintenance (resources & partnerships),S,R,$,equip,NA,NA
Kapolei,W. Oahu,Air Support,5,Funding/Availability,S,R,$,equip,NA,NA
WMWP,W. Oahu,Antiquated firefighting equipment,0,Funding for new equipment,S,R,$,equip,NA,NA
Kapolei,W. Oahu,Explore other firefighting technology,9,"Retardants, drones, etc.",S,R,$,equip,NA,NA
WMWP,W. Oahu,Helicopters are slow to put out fires,0,Need more aircrafts for response,S,R,$,equip,NA,NA
Makakilo,W. Oahu,Need more firefighting resources,0,Drones for tracking fire,S,R,$,equip,NA,NA
Makakilo,W. Oahu,Consider alternative technologies for retardants/suppression agents (eco friendly),2,Conduct research on different technologies,PS,R,$,equip, research,NA
Makakilo,W. Oahu,Extinguishment/visualization of fireground,5,"Experiment with new technology (deployment methods, fire retardants, drones, etc.)",S,R,$,equip, research,NA
Waianae Mountains Watershed Partnership (WMWP),W. Oahu,Fuel load below natural areas,3,Need own fire crew dedicated to fire (firefighting and pre-suppression),PS,R,$,personnel,NA,NA
Waianae #1,W. Oahu,Insufficient personnel,2,DNA,S,R,$,personnel,NA,NA
WMWP,W. Oahu,Not enough pre-suppression,1,Dedicated funding for pre-suppression,PS,R,$,presuppression,NA,NA
WMWP,W. Oahu,"Need more training for Hawaii DOFAW staff – training on the mainland (new techniques, etc. for firefighting)",0,Funding for staff to go to mainland and get training on larger scale firefighting,S,R,$,training,NA,NA
WMWP,W. Oahu,Lack of fire suppression infrastructure in fire prone areas,0,"Funding for water lines, dip tanks, etc.",S,R,$,water supply,NA,NA
Kapolei,W. Oahu,Fire Accessibility,2,Roads/Fire Breaks/Vehicles,PS,R,a,fb,NA,NA
Kapolei,W. Oahu,Fire Accessibility,2,Roads/Fire Breaks/Vehicles,S,R,a,r,NA,NA
Nanakuli,W. Oahu,Limited access to remote areas,0,Make more roads,PS,R,a,r,NA,NA
Makakilo,W. Oahu,Need better access points for suppression (many areas with only one ingress/egress,0,Establish alternative routes,S,R,a,r,NA,NA
Nanakuli,W. Oahu,Road hazards - firefighter safety,1,Info. Traffic Signs available for HPD & HFD use; Quicker public notification system of incidents ; Better traffic management,S,R,a,r,NA,NA
Nanakuli,W. Oahu,Traffic due to fire/smoke,2,More/wider bypass roads,PS,R,a,r,NA,NA
Nanakuli,W. Oahu,Road hazards - firefighter safety,1,Info. Traffic Signs available for HPD & HFD use; Quicker public notification system of incidents ; Better traffic management,P,R,a,safety,NA,NA
Nanakuli,W. Oahu,Road hazards - firefighter safety,1,Info. Traffic Signs available for HPD & HFD use; Quicker public notification system of incidents ; Better traffic management,PS,R,a,traffic,NA,NA
OWIE,W. Oahu,Traffic impacts,NA,NA,P,R,a,traffic,NA,NA
Nanakuli,W. Oahu,"Access & Safety (firefighter, neighbors down-wind), dangerous debris; poor air quality",0,DNA,S,R,a,safety,NA,NA
Kapolei,W. Oahu,"Aerial firefighting resources (expensive, request process lengthy)",0,More streamlined process between agencies,S,R,collab,ff,NA,NA
Kapolei,W. Oahu,Need to better determine fire causes,1,Need witnesses and community cooperation & support; Costs and time are prohibitive,PF,R,collab,ff,NA,NA
Waianae #2,W. Oahu,Replant ASAP after fire,2,Schedule planting with replacement less combustible plants - plan with nurseries and seed providers/temporary irrigation lines,PF,R,ep,pfr,NA,NA
Nanakuli,W. Oahu,Controlled burns on federal lands not managed appropriately,4,Federal firefighters keep controlled burns limited to their property using available resources and are properly trained to control wildfires,S,R,fed burns,ff,NA,NA
Waianae #1,W. Oahu,"People and animals need to know how to evacuate, need way to contact residents.  Feral animals (dumped)",0,Get phone numbers make contact list/network for community emergency information,S,R,p,evac,NA,NA
Waianae #1,W. Oahu,Protecting private lands and people who go on land,0,Need visitor evacuation plan; Teach students to get off land in event of fire; Practice with students,PS,R,p,evac,NA,NA
Nanakuli,W. Oahu,Road hazards - firefighter safety,1,Info. Traffic Signs available for HPD & HFD use; Quicker public notification system of incidents ; Better traffic management,S,R,p,notification, traffic,NA
WMWP,W. Oahu,Lack of maps/network of trails and roads for firefighters,0,Need funding for surveys and maps,PS,R,p,r,NA,NA
Waianae #1,W. Oahu,Community Evacuation Planning,7,Routes/Sites/Alternative Roads,P,R,p,r, evacuation,NA
Waianae #1,W. Oahu,Protecting private lands and people who go on land,0,Need visitor evacuation plan; Teach students to get off land in event of fire; Practice with students,S,R,p,to,NA,NA
WMWP,W. Oahu,Locations of threatened and endangered species for firefighters,1,Maps,S,R,p,NA,NA,NA
WMWP,W. Oahu,Locations of threatened and endangered species for firefighters,1,Maps,PS,R,p,ep,NA,NA
WMWP,W. Oahu,Lack of fire suppression infrastructure in fire prone areas,0,"Funding for water lines, dip tanks, etc.",S,R,w,diptanks,NA,NA
Waianae #2,W. Oahu,Diptank located at each reservoir,2,Work with Bureau of Water Supply & Honolulu Fire Department,S,R,w,diptank, collab,NA
Makakilo,W. Oahu,Need more water catchment or diptanks for suppression,0,Buy/install additional tanks (temp. or fixed),S,R,w,diptanks,NA,NA
Makakilo,W. Oahu,Not enough dip tanks within Palehua/Honolulu Forest Reserve,4,Establish more dip tanks/water reservoirs within preserve,S,R,w,diptanks,NA,NA
Nanakuli,W. Oahu,Water Supply,5,More tanks where needed; Dry tanks that HFD tankers can refill,S,R,w,diptanks,NA,NA
Kapolei,W. Oahu,Water Supply,1,Tanks/Tanker,S,R,w,diptanks,NA,NA
Makakilo,W. Oahu,"Need more hydrants, pressurized water",0,Install more on both sides of road,S,R,w,hydrants,NA,NA
Waianae #2,W. Oahu,No access to water for fire suppression beyond Kea'au beach park,0,Install fire hydrants between Kea'au beach park and Ka'ena Point,S,R,w,hydrants,NA,NA
Makakilo,W. Oahu,Suitable water supplies/infrastructure for air operations,0,Research with landowners & agencies,S,R,w,diptanks,NA,NA
Makakilo,W. Oahu,Water Supply,2,Added catchment systems in strategic locations,S,R,w,diptanks,NA,NA
